내용,종류,수준
섞어,낱말,
섞여,낱말,
섞은,낱말,
섞인,낱말,
선한,낱말,
섬길,낱말,
성결,낱말,
성막,낱말,
성소,낱말,
세로,낱말,
세운,낱말,
세울,낱말,
세워,낱말,
셋과,낱말,
셋씩,낱말,
셋째,낱말,
소가,낱말,
소나,낱말,
소는,낱말,
소도,낱말,
소로,낱말,
소를,낱말,
소와,낱말,
소유,낱말,
속에,낱말,
속이,낱말,
속인,낱말,
속한,낱말,
속할,낱말,
속히,낱말,
손과,낱말,
손수,낱말,
손에,낱말,
손은,낱말,
손을,낱말,
손의,낱말,
손이,낱말,
수르,낱말,
수를,낱말,
수소,낱말,
숙여,낱말,
순금,낱말,
술을,낱말,
숨길,낱말,
숨을,낱말,
숫양,낱말,
쉬게,낱말,
쉬라,낱말,
스무,낱말,
시내,낱말,
시작,낱말,
시켜,낱말,
식물,낱말,
신고,낱말,
신을,낱말,
신음,낱말,
신하,낱말,
싣고,낱말,
실과,낱말,
실로,낱말,
실에,낱말,
실을,낱말,
심한,낱말,
심히,낱말,
싸고,낱말,
싸되,낱말,
싸라,낱말,
싸서,낱말,
싸워,낱말,
쌓고,낱말,
쌓지,낱말,
써서,낱말,
쏘아,낱말,
쓰는,낱말,
쓰라,낱말,
쓰신,낱말,
씌워,낱말,
씻게,낱말,
씻되,낱말,
씻어,낱말,
씻을,낱말,
아니,낱말,
아닌,낱말,
아들,낱말,
아론,낱말,
아무,낱말,
아주,낱말,
아직,낱말,
아침,낱말,
악성,낱말,
악한,낱말,
안에,낱말,
안의,낱말,
앉는,낱말,
앉은,낱말,
않게,낱말,
않을,낱말,
알게,낱말,
알고,낱말,
앓은,낱말,
암양,낱말,
암컷,낱말,
앞에,낱말,
애굽,낱말,
양과,낱말,
양은,낱말,
양을,낱말,
양의,낱말,
얕고,낱말,
얕지,낱말,
어긴,낱말,
어느,낱말,
어떤,낱말,
어린,낱말,
어찌,낱말,
얹게,낱말,
얻은,낱말,
얻을,낱말,
엄지,낱말,
없게,낱말,
없고,낱말,
없는,낱말,
없을,낱말,
없이,낱말,
여겨,낱말,
여길,낱말,
여러,낱말,
여종,낱말,
열고,낱말,
열두,낱말,
엿새,낱말,
예물,낱말,
예순,낱말,
오늘,낱말,
오래,낱말,
오랜,낱말,
오십,낱말,
오지,낱말,
오직,낱말,
옴과,낱말,
옴은,낱말,
옴을,낱말,
옴의,낱말,
옴이,낱말,
옷과,낱말,
옷을,낱말,
와서,낱말,
외에,낱말,
왼쪽,낱말,
위에,낱말,
위와,낱말,
위의,낱말,
위한,낱말,
육지,낱말,
은에,낱말,
이는,낱말,
이런,낱말,
이레,낱말,
이로,낱말,
이룬,낱말,
이를,낱말,
이마,낱말,
이미,낱말,
이삭,낱말,
이십,낱말,
이어,낱말,
이에,낱말,
이와,낱말,
이웃,낱말,
이혼,낱말,
익은,낱말,
일곱,낱말,
일도,낱말,
일로,낱말,
일에,낱말,
일은,낱말,
일을,낱말,
일의,낱말,
일이,낱말,
일할,낱말,
잃은,낱말,
입고,낱말,
입은,낱말,
입을,낱말,
입지,낱말,
입힌,낱말,
있게,낱말,
있고,낱말,
있기,낱말,
있는,낱말,
있던,낱말,
있어,낱말,
있은,낱말,
있을,낱말,
있음,낱말,
있지,낱말,
자가,낱말,
자기,낱말,
자나,낱말,
자는,낱말,
자니,낱말,
자도,낱말,
자라,낱말,
자를,낱말,
자매,낱말,
자색,낱말,
자손,낱말,
자에,낱말,
자와,낱말,
자요,낱말,
자의,낱말,
작은,낱말,
잡게,낱말,
잡아,낱말,
장대,낱말,
장로,낱말,
장막,낱말,
장인,낱말,
장자,낱말,
재를,낱말,
쟁반,낱말,
저쪽,낱말,
적게,낱말,
적은,낱말,
적을,낱말,
전과,낱말,
전에,낱말,
전제,낱말,
절반,낱말,
정한,낱말,
젖과,낱말,
제단,낱말,
제비,낱말,
제사,낱말,
제일,낱말,
조상,낱말,
좁은,낱말,
종려,낱말,
종은,낱말,
종을,낱말,
종일,낱말,
종족,낱말,
좋은,낱말,
좋을,낱말,
죄가,낱말,
죄로,낱말,
죄를,낱말,
주게,낱말,
주고,낱말,
주는,낱말,
주되,낱말,
주를,낱말,
주마,낱말,
주매,낱말,
주사,낱말,
주신,낱말,
주어,낱말,
주여,낱말,
주의,낱말,
주지,낱말,
죽게,낱말,
죽고,낱말,
죽기,낱말,
죽던,낱말,
죽어,낱말,
죽여,낱말,
죽은,낱말,
죽을,낱말,
죽인,낱말,
죽일,낱말,
죽지,낱말,
줄을,낱말,
중에,낱말,
중의,낱말,
즉시,낱말,
증손,낱말,
지게,낱말,
지경,낱말,
지고,낱말,
지나,낱말,
지면,낱말,
지은,낱말,
지을,낱말,
지켜,낱말,
지킬,낱말,
지파,낱말,
진영,낱말,
진을,낱말,
진칠,낱말,
짐승,낱말,
짐을,낱말,
집과,낱말,
집에,낱말,
집을,낱말,
집의,낱말,
짓고,낱말,
쪽에,낱말,
찍고,낱말,
찍어,낱말,
찢고,낱말,
차남,낱말,
차려,낱말,
차마,낱말,
차지,낱말,
찬즉,낱말,
창녀,낱말,
창을,낱말,
찾아,낱말,
찾을,낱말,
찾지,낱말,
채소,낱말,
채워,낱말,
천하,낱말,
첫째,낱말,
쳐서,낱말,
쳤던,낱말,
촌과,낱말,
추장,낱말,
충만,낱말,
치고,낱말,
치는,낱말,
치니,낱말,
치매,낱말,
치면,낱말,
치지,낱말,
친구,낱말,
친히,낱말,
칠까,낱말,
칠십,낱말,
침상,낱말,
칼과,낱말,
칼로,낱말,
칼에,낱말,
칼은,낱말,
칼을,낱말,
코에,낱말,
크게,낱말,
크고,낱말,
타고,낱말,
타는,낱말,
타작,낱말,
탑을,낱말,
태를,낱말,
태에,낱말,
태의,낱말,
택할,낱말,
털이,낱말,
토지,낱말,
틈을,낱말,
티끌,낱말,
판지,낱말,
팔린,낱말,
팔지,낱말,
패를,낱말,
패할,낱말,
퍼져,낱말,
편을,낱말,
포도,낱말,
풀며,낱말,
풀지,낱말,
피가,낱말,
피나,낱말,
피는,낱말,
피로,낱말,
피를,낱말,
피에,낱말,
피와,낱말,
피운,낱말,
피워,낱말,
피의,낱말,
피째,낱말,
피차,낱말,
하고,낱말,
하나,낱말,
하는,낱말,
하늘,낱말,
하니,낱말,
하던,낱말,
하되,낱말,
하라,낱말,
하러,낱말,
하려,낱말,
하맛,낱말,
하매,낱말,
하며,낱말,
하면,낱말,
하사,낱말,
하신,낱말,
하실,낱말,
하여,낱말,
하자,낱말,
하지,낱말,
한을,낱말,
한이,낱말,
한즉,낱말,
할까,낱말,
할례,낱말,
할새,낱말,
할지,낱말,
함과,낱말,
함께,낱말,
함은,낱말,
함을,낱말,
함의,낱말,
함이,낱말,
항상,낱말,
해가,낱말,
해니,낱말,
해를,낱말,
해산,낱말,
해서,낱말,
해에,낱말,
해와,낱말,
해요,낱말,
해할,낱말,
행한,낱말,
행할,낱말,
헷을,낱말,
혈육,낱말,
형들,낱말,
형상,낱말,
형은,낱말,
형을,낱말,
형의,낱말,
형이,낱말,
형제,낱말,
호리,낱말,
혹시,낱말,
혼아,낱말,
혼이,낱말,
혼자,낱말,
홀과,낱말,
홀로,낱말,
홍색,낱말,
홍수,낱말,
화를,낱말,
화살,낱말,
환난,낱말,
환상,낱말,
활로,낱말,
활은,낱말,
활을,낱말,
후로,낱말,
후손,낱말,
후에,낱말,
후의,낱말,
후한,낱말,
흉한,낱말,
흘러,낱말,
흘릴,낱말,
흙을,낱말,
히위,낱말,
힘을,낱말,
힘이,낱말,
가고자,낱말,
가까이,낱말,
가깝게,낱말,
가깝고,낱말,
가나안,낱말,
가느냐,낱말,
가는데,낱말,
가늘고,낱말,
가니라,낱말,
가닥도,낱말,
가담과,낱말,
가더니,낱말,
가두는,낱말,
가두니,낱말,
가든지,낱말,
가려고,낱말,
가르쳐,낱말,
가리게,낱말,
가리고,낱말,
가리니,낱말,
가리라,낱말,
가리켜,낱말,
가만히,낱말,
가볍게,낱말,
가부를,낱말,
가소서,낱말,
가시니,낱말,
가에서,낱말,
가운데,낱말,
가인과,낱말,
가인은,낱말,
가인을,낱말,
가인의,낱말,
가인이,낱말,
가져다,낱말,
가져서,낱말,
가져온,낱말,
가족과,낱말,
가족을,낱말,
가족의,낱말,
가족이,낱말,
가죽을,낱말,
가증히,낱말,
가지가,낱말,
가지게,낱말,
가지고,낱말,
가지는,낱말,
가지라,낱말,
가지를,낱말,
가지지,낱말,
가축과,낱말,
가축을,낱말,
가축의,낱말,
가축이,낱말,
가함과,낱말,
각자의,낱말,
간곡한,낱말,
간구를,낱말,
간직해,낱말,
갇히게,낱말,
갇히어,낱말,
갈라와,낱말,
갈라져,낱말,
갈미요,낱말,
갈빗대,낱말,
갈아도,낱말,
감당할,낱말,
감동된,낱말,
감정을,낱말,
갑절의,낱말,
갓이라,낱말,
갔더라,낱말,
갔으니,낱말,
갔으며,낱말,
강대한,낱말,
갖추고,낱말,
같아서,낱말,
같으니,낱말,
같은지,낱말,
갚느냐,낱말,
갚지나,낱말,
개천의,낱말,
거기서,낱말,
거기에,낱말,
거두고,낱말,
거두니,낱말,
거두되,낱말,
거두어,낱말,
거둠과,낱말,
거리를,낱말,
거부가,낱말,
거십에,낱말,
거주할,낱말,
거처를,낱말,
거처와,낱말,
거취를,낱말,
거하게,낱말,
건너편,낱말,
건널새,낱말,
건장한,낱말,
건지신,낱말,
것들은,낱말,
것들을,낱말,
것들이,낱말,
것보다,낱말,
것에서,낱말,
것으로,낱말,
것이나,낱말,
것이냐,낱말,
것이니,낱말,
것이라,낱말,
것이며,낱말,
것이요,낱말,
게난은,낱말,
게난을,낱말,
게달과,낱말,
게델과,낱말,
게라와,낱말,
게셋과,낱말,
겨루어,낱말,
겨를도,낱말,
겨울과,낱말,
견고히,낱말,
결단코,낱말,
결혼할,낱말,
경계가,낱말,
경계는,낱말,
곁에서,낱말,
곁으로,낱말,
계명과,낱말,
계보를,낱말,
계셔서,낱말,
계시매,낱말,
계시사,낱말,
계시지,낱말,
계심을,낱말,
계약을,낱말,
계절과,낱말,
계획이,낱말,
고기를,낱말,
고난과,낱말,
고대에,낱말,
고라를,낱말,
고멜과,낱말,
고멜의,낱말,
고모라,낱말,
고통을,낱말,
고페르,낱말,
고하되,낱말,
고하여,낱말,
고향과,낱말,
곡물을,낱말,
곡식과,낱말,
곡식을,낱말,
곡식이,낱말,
곡하는,낱말,
골짜기,낱말,
곳마다,낱말,
곳에는,낱말,
곳에서,낱말,
곳으로,낱말,
곳이라,낱말,
곳이여,낱말,
공의가,낱말,
공의로,낱말,
공의와,낱말,
공중의,낱말,
과부의,낱말,
관원장,낱말,
관절에,낱말,
관절을,낱말,
관절이,낱말,
관하여,낱말,
광야에,낱말,
광야의,낱말,
괴롭게,낱말,
구니와,낱말,
구리와,낱말,
구백십,낱말,
구백오,낱말,
구스가,낱말,
구스와,낱말,
구스의,낱말,
구십구,낱말,
구역과,낱말,
구우니,낱말,
구원을,낱말,
구유에,낱말,
구푸려,낱말,
구하고,낱말,
구하여,낱말,
국민이,낱말,
군대라,낱말,
군대의,낱말,
굳세며,낱말,
굽히고,낱말,
굽히며,낱말,
궁으로,낱말,
궁중에,낱말,
궁창에,낱말,
궁창을,낱말,
궁창이,낱말,
권능이,낱말,
규빗에,낱말,
그것은,낱말,
그것을,낱말,
그것이,낱말,
그곳에,낱말,
그곳을,낱말,
그나스,낱말,
그니스,낱말,
그대가,낱말,
그대는,낱말,
그대로,낱말,
그대를,낱말,
그대의,낱말,
그들과,낱말,
그들로,낱말,
그들에,낱말,
그들은,낱말,
그들을,낱말,
그들의,낱말,
그들이,낱말,
그랄로,낱말,
그랄에,낱말,
그랄을,낱말,
그래도,낱말,
그러나,낱말,
그러면,낱말,
그러할,낱말,
그런데,낱말,
그런즉,낱말,
그렇게,낱말,
그렇지,낱말,
그릇에,낱말,
그리고,낱말,
그리로,낱말,
그보다,낱말,
그에게,낱말,
그치고,낱말,
그치매,낱말,
그치지,낱말,
그핫과,낱말,
근심의,낱말,
근심이,낱말,
근원을,낱말,
근원이,낱말,
근처에,낱말,
금하지,낱말,
기구를,낱말,
기근에,낱말,
기근이,낱말,
기기서,낱말,
기다려,낱말,
기둥에,낱말,
기둥을,낱말,
기둥이,낱말,
기력의,낱말,
기르신,낱말,
기름을,낱말,
기름진,낱말,
기병이,낱말,
기쁘게,낱말,
기업을,낱말,
기업이,낱말,
기운의,낱말,
기운이,낱말,
기울여,낱말,
기한이,낱말,
긷기로,낱말,
길르앗,낱말,
길리고,낱말,
길섶의,낱말,
길에서,낱말,
길으러,낱말,
길이는,낱말,
깃딤과,낱말,
깊음의,낱말,
까닭에,낱말,
깎으러,낱말,
깨끗한,낱말,
깨닫지,낱말,
꺼내어,낱말,
껍질을,낱말,
껴안은,낱말,
꾀므로,낱말,
꾀하여,낱말,
꾸짖고,낱말,
꿈꾸는,낱말,
꿈대로,낱말,
꿈이라,낱말,
끌려온,낱말,
끝에서,낱말,
끼우고,낱말,
나가매,낱말,
나가서,낱말,
나가자,낱말,
나가지,낱말,
나감을,낱말,
나귀가,낱말,
나귀를,낱말,
나귀에,낱말,
나귀와,낱말,
나그네,낱말,
나누고,낱말,
나누며,낱말,
나누면,낱말,
나누사,낱말,
나누어,낱말,
나뉘게,낱말,
나뉘라,낱말,
나뉘어,낱말,
나더니,낱말,
나라가,낱말,
나라는,낱말,
나라를,낱말,
나라의,낱말,
나루를,낱말,
나리라,낱말,
나무가,낱말,
나무는,낱말,
나무도,낱말,
나무로,낱말,
나무를,낱말,
나무에,낱말,
나무와,낱말,
나무의,낱말,
나보다,낱말,
나아가,낱말,
나아서,낱말,
나아와,낱말,
나에게,낱말,
나오고,낱말,
나오니,낱말,
나오신,낱말,
나와서,낱말,
나왔고,낱말,
나으니,낱말,
나이가,낱말,
나이로,낱말,
나이에,낱말,
나타나,낱말,
나핫과,낱말,
나홀과,낱말,
나홀은,낱말,
나홀을,낱말,
나홀의,낱말,
나홀이,낱말,
낙타가,낱말,
낙타를,낱말,
낙타와,낱말,
낙타의,낱말,
난산할,낱말,
날마다,낱말,
날수가,낱말,
날에는,낱말,
날으라,낱말,
날이라,낱말,
남기지,낱말,
남자가,낱말,
남자는,낱말,
남자를,낱말,
남자와,낱말,
남편은,낱말,
남편을,낱말,
남편의,낱말,
남편이,낱말,
낮에는,낱말,
낮이라,낱말,
낳았고,낱말,
낳았다,낱말,
낳았을,낱말,
낳으니,낱말,
낳으매,낱말,
낳을까,낱말,
내게도,낱말,
내게로,낱말,
내게서,낱말,
내놓아,낱말,
내려가,낱말,
내려간,낱말,
내려갈,낱말,
내려와,낱말,
내리고,낱말,
내리는,낱말,
내리니,낱말,
내리며,낱말,
내리사,낱말,
내리지,낱말,
내밀어,낱말,
내용이,낱말,
너보다,낱말,
너비는,낱말,
너에게,낱말,
너와는,낱말,
너울로,낱말,
너울을,낱말,
너희가,낱말,
너희는,낱말,
너희도,낱말,
너희를,낱말,
너희와,낱말,
너희의,낱말,
넘치매,낱말,
넣어져,낱말,
넣으라,낱말,
네게로,낱말,
네게브,낱말,
네게서,낱말,
년이요,낱말,
노경에,낱말,
노년에,낱말,
노년의,낱말,
노래와,낱말,
노비가,낱말,
노비와,낱말,
노소를,낱말,
노아가,낱말,
노아는,낱말,
노아를,낱말,
노아와,낱말,
노아의,낱말,
노예가,낱말,
노예로,낱말,
노인이,낱말,
노하사,낱말,
노하여,낱말,
노하지,낱말,
놀라서,낱말,
농사를,낱말,
높으신,낱말,
높은즉,낱말,
높이는,낱말,
놓으니,낱말,
놓음은,낱말,
누구냐,낱말,
누구의,낱말,
누리는,낱말,
누이는,낱말,
누이라,낱말,
누이를,낱말,
누이여,낱말,
누이의,낱말,
누이인,낱말,
눕거든,낱말,
늙어서,낱말,
늙었고,낱말,
능력이,낱말,
능하지,낱말,
니므롯,낱말,
다니게,낱말,
다니고,낱말,
다니며,낱말,
다말이,낱말,
다메섹,낱말,
다섯째,낱말,
다스릴,낱말,
다시는,낱말,
다음에,낱말,
다음은,낱말,
다투게,낱말,
다투고,낱말,
다투어,낱말,
다투지,낱말,
다하고,낱말,
다하매,낱말,
다하여,낱말,
다함께,낱말,
단까지,낱말,
단이라,낱말,
닫히고,낱말,
달려가,낱말,
달리니,낱말,
달아날,낱말,
담보가,낱말,
당대에,낱말,
당시에,낱말,
당신과,낱말,
당신들,낱말,
당신은,낱말,
당신을,낱말,
당신의,낱말,
당신이,낱말,
당할까,낱말,
닿았고,낱말,
대가를,낱말,
대답을,낱말,
대답이,낱말,
대답한,낱말,
대대로,낱말,
대소를,낱말,
대신에,낱말,
대적을,낱말,
대적의,낱말,
대하여,낱말,
더럽힌,낱말,
더불어,낱말,
더위와,낱말,
더하사,낱말,
던지고,낱말,
던지니,낱말,
덮더라,낱말,
덮이니,낱말,
데라가,낱말,
데라는,낱말,
데라를,낱말,
데라의,낱말,
데려간,낱말,
데려온,낱말,
데려와,낱말,
데리고,낱말,
데마와,낱말,
데만과,낱말,
데바와,낱말,
도둑을,낱말,
도리를,낱말,
도리어,낱말,
도망한,낱말,
도성의,낱말,
도시를,낱말,
도우실,낱말,
도장과,낱말,
독자도,낱말,
돈으로,낱말,
돋았고,낱말,
돌라와,낱말,
돌아가,낱말,
돌아갈,낱말,
돌아올,낱말,
돌아와,낱말,
돌이켜,낱말,
동거할,낱말,
동맹한,낱말,
동물은,낱말,
